. Sequence file : [Hominid_ALB.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #55	4   	-27408.64606	Yes        	4        	0.952    	0.200    	 0.30711   0.17198   0.18148   0.33943	-0.79554   0.09712   0.61088   0.08754  
      	     	          	           	          	           	             	                                      	 0.17343  -1.39307   0.20978   1.00986  
      	     	          	           	          	           	             	                                      	 1.03375   0.19879  -1.48564   0.25310  
      	     	          	           	          	           	             	                                      	 0.07920   0.51166   0.13532  -0.72618  
  #56	4   	-27559.12221	Yes        	4        	0.279    	0.259    	 0.31124   0.17294   0.18217   0.33364	-0.80392   0.09449   0.58786   0.12157  
      	     	          	           	          	           	             	                                      	 0.17005  -1.35583   0.20658   0.97920  
      	     	          	           	          	           	             	                                      	 1.00435   0.19611  -1.44591   0.24545  
      	     	          	           	          	           	             	                                      	 0.11341   0.50757   0.13402  -0.75500  
  #57	4   	-27680.32871	Yes        	4        	0.391    	0.188    	 0.30708   0.17372   0.18719   0.33201	-0.83663   0.11593   0.63001   0.09069  
      	     	          	           	          	           	             	                                      	 0.20491  -1.38552   0.24635   0.93426  
      	     	          	           	          	           	             	                                      	 1.03355   0.22863  -1.46512   0.20294  
      	     	          	           	          	           	             	                                      	 0.08388   0.48885   0.11442  -0.68715  
  #58	4   	-27410.66220	Yes        	4        	1.012    	0.200    	 0.30743   0.17269   0.17988   0.34000	-0.83668   0.13372   0.58646   0.11650  
      	     	          	           	          	           	             	                                      	 0.23807  -1.41415   0.21081   0.96528  
      	     	          	           	          	           	             	                                      	 1.00232   0.20238  -1.42532   0.22061  
      	     	          	           	          	           	             	                                      	 0.10534   0.49026   0.11671  -0.71231  
  #59	4   	-27500.93602	Yes        	4        	0.860    	0.199    	 0.30687   0.16830   0.18480   0.34004	-0.83041   0.11939   0.59978   0.11123  
      	     	          	           	          	           	             	                                      	 0.21770  -1.42876   0.22749   0.98357  
      	     	          	           	          	           	             	                                      	 0.99593   0.20717  -1.42691   0.22381  
      	     	          	           	          	           	             	                                      	 0.10038   0.48680   0.12164  -0.70882  
  #60	4   	-27704.10587	Yes        	4        	0.261    	0.280    	 0.31659   0.17484   0.17853   0.33004	-0.81627   0.10475   0.61332   0.09820  
      	     	          	           	          	           	             	                                      	 0.18968  -1.30427   0.23474   0.87986  
      	     	          	           	          	           	             	                                      	 1.08764   0.22989  -1.57908   0.26155  
      	     	          	           	          	           	             	                                      	 0.09420   0.46612   0.14148  -0.70180  
  #61	4   	-27549.04828	Yes        	4        	0.288    	0.285    	 0.30070   0.16982   0.18036   0.34912	-0.84265   0.09681   0.63056   0.11528  
      	     	          	           	          	           	             	                                      	 0.17143  -1.33366   0.23449   0.92775  
      	     	          	           	          	           	             	                                      	 1.05131   0.22079  -1.54513   0.27303  
      	     	          	           	          	           	             	                                      	 0.09929   0.45127   0.14105  -0.69161  
  #62	4   	-27738.12341	Yes        	4        	1.013    	0.200    	 0.30801   0.17374   0.18201   0.33624	-0.91282   0.10796   0.70684   0.09802  
      	     	          	           	          	           	             	                                      	 0.19140  -1.27884   0.20965   0.87779  
      	     	          	           	          	           	             	                                      	 1.19616   0.20012  -1.56062   0.16433  
      	     	          	           	          	           	             	                                      	 0.08979   0.45356   0.08896  -0.63231  
  #63	4   	-27657.65621	Yes        	4        	0.600    	0.194    	 0.30529   0.17563   0.18280   0.33628	-0.83624   0.12780   0.62586   0.08258  
      	     	          	           	          	           	             	                                      	 0.22215  -1.40326   0.26722   0.91389  
      	     	          	           	          	           	             	                                      	 1.04523   0.25674  -1.50580   0.20383  
      	     	          	           	          	           	             	                                      	 0.07497   0.47732   0.11080  -0.66309  
  #64	4   	-27709.00702	Yes        	4        	0.363    	0.207    	 0.30511   0.17105   0.18166   0.34218	-0.85300   0.09375   0.62630   0.13296  
      	     	          	           	          	           	             	                                      	 0.16722  -1.29586   0.19419   0.93445  
      	     	          	           	          	           	             	                                      	 1.05193   0.18284  -1.49180   0.25703  
      	     	          	           	          	           	             	                                      	 0.11855   0.46709   0.13645  -0.72210  
  #65	4   	-27954.43716	Yes        	4        	1.024    	0.200    	 0.30211   0.17719   0.18329   0.33740	-0.83722   0.13475   0.58991   0.11255  
      	     	          	           	          	           	             	                                      	 0.22975  -1.39875   0.24362   0.92537  
      	     	          	           	          	           	             	                                      	 0.97231   0.23551  -1.42568   0.21786  
      	     	          	           	          	           	             	                                      	 0.10078   0.48597   0.11835  -0.70510  
  #66	4   	-27654.16643	Yes        	4        	0.429    	0.190    	 0.30368   0.17194   0.18129   0.34309	-0.82390   0.10445   0.58249   0.13695  
      	     	          	           	          	           	             	                                      	 0.18449  -1.38674   0.26265   0.93960  
      	     	          	           	          	           	             	                                      	 0.97576   0.24911  -1.46253   0.23766  
      	     	          	           	          	           	             	                                      	 0.12122   0.47087   0.12557  -0.71767  
