. Sequence file : [Hominid_AHSG.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.70075   0.10837  -1.03756   0.22844  
      	     	          	           	          	           	             	                                      	 0.06639   0.77551   0.22954  -1.07145  
  #43	4   	-13638.59066	Yes        	4        	881.753    	0.173    	 0.28191   0.23077   0.24755   0.23978	-0.81486   0.12193   0.66002   0.03291  
      	     	          	           	          	           	             	                                      	 0.14895  -1.11639   0.18323   0.78420  
      	     	          	           	          	           	             	                                      	 0.75163   0.17081  -1.11243   0.19000  
      	     	          	           	          	           	             	                                      	 0.03869   0.75474   0.19616  -0.98959  
  #44	4   	-13766.62181	Yes        	4        	1.981    	0.205    	 0.27957   0.22445   0.25107   0.24491	-0.81590   0.13289   0.64465   0.03836  
      	     	          	           	          	           	             	                                      	 0.16552  -1.13481   0.20371   0.76558  
      	     	          	           	          	           	             	                                      	 0.71782   0.18211  -1.11638   0.21645  
      	     	          	           	          	           	             	                                      	 0.04379   0.70161   0.22190  -0.96730  
  #45	4   	-13669.15655	Yes        	4        	881.796    	0.174    	 0.28303   0.23160   0.24294   0.24243	-0.92729   0.16082   0.64972   0.11675  
      	     	          	           	          	           	             	                                      	 0.19654  -1.01815   0.13020   0.69142  
      	     	          	           	          	           	             	                                      	 0.75694   0.12411  -1.07560   0.19454  
      	     	          	           	          	           	             	                                      	 0.13630   0.66053   0.19496  -0.99179  
  #46	4   	-13763.65064	Yes        	4        	3.286    	0.196    	 0.27575   0.22933   0.24836   0.24656	-0.83127   0.14719   0.62468   0.05940  
      	     	          	           	          	           	             	                                      	 0.17698  -1.15219   0.21556   0.75966  
      	     	          	           	          	           	             	                                      	 0.69357   0.19904  -1.08239   0.18978  
      	     	          	           	          	           	             	                                      	 0.06643   0.70656   0.19116  -0.96416  
  #47	4   	-13567.22192	Yes        	4        	2.214    	0.205    	 0.27894   0.23209   0.24552   0.24345	-0.84748   0.21392   0.59065   0.04290  
      	     	          	           	          	           	             	                                      	 0.25711  -1.09424   0.14623   0.69089  
      	     	          	           	          	           	             	                                      	 0.67107   0.13823  -1.09162   0.28232  
      	     	          	           	          	           	             	                                      	 0.04916   0.65865   0.28471  -0.99252  
  #48	4   	-13617.40199	Yes        	4        	618.416    	0.178    	 0.27904   0.23857   0.24399   0.23840	-0.89972   0.10521   0.72983   0.06469  
      	     	          	           	          	           	             	                                      	 0.12306  -0.97244   0.13927   0.71011  
      	     	          	           	          	           	             	                                      	 0.83468   0.13618  -1.16063   0.18977  
      	     	          	           	          	           	             	                                      	 0.07572   0.71062   0.19422  -0.98055  
  #49	4   	-13540.69667	Yes        	4        	1.570    	0.203    	 0.28713   0.22633   0.24024   0.24629	-0.74875   0.11509   0.59111   0.04255  
      	     	          	           	          	           	             	                                      	 0.14601  -1.16941   0.18357   0.83983  
      	     	          	           	          	           	             	                                      	 0.70650   0.17295  -1.10164   0.22218  
      	     	          	           	          	           	             	                                      	 0.04961   0.77176   0.21672  -1.03809  
  #50	4   	-13607.61186	Yes        	4        	382.584    	0.200    	 0.28170   0.23659   0.24532   0.23640	-0.83110   0.14277   0.62339   0.06494  
      	     	          	           	          	           	             	                                      	 0.17000  -1.04924   0.24821   0.63103  
      	     	          	           	          	           	             	                                      	 0.71585   0.23937  -1.19109   0.23586  
      	     	          	           	          	           	             	                                      	 0.07739   0.63154   0.24476  -0.95370  
  #51	4   	-13684.51542	Yes        	4        	618.416    	0.176    	 0.27968   0.23131   0.25139   0.23762	-0.91697   0.12621   0.71303   0.07774  
      	     	          	           	          	           	             	                                      	 0.15260  -0.93962   0.16287   0.62415  
      	     	          	           	          	           	             	                                      	 0.79327   0.14986  -1.18777   0.24463  
      	     	          	           	          	           	             	                                      	 0.09149   0.60756   0.25880  -0.95786  
  #52	4   	-13580.50746	Yes        	4        	382.584    	0.225    	 0.27396   0.23799   0.23974   0.24831	-0.92517   0.22905   0.63907   0.05705  
      	     	          	           	          	           	             	                                      	 0.26367  -1.09557   0.14574   0.68616  
      	     	          	           	          	           	             	                                      	 0.73027   0.14468  -1.07751   0.20255  
      	     	          	           	          	           	             	                                      	 0.06294   0.65763   0.19556  -0.91613  
  #53	4   	-13822.74734	Yes        	4        	882.196    	0.147    	 0.27753   0.23417   0.24648   0.24183	-0.86902   0.16151   0.64924   0.05827  
      	     	          	           	          	           	             	                                      	 0.19141  -1.04797   0.16190   0.69467  
      	     	          	           	          	           	             	                                      	 0.73103   0.15381  -1.12114   0.23630  
      	     	          	           	          	           	             	                                      	 0.06687   0.67268   0.24084  -0.98039  
  #54	4   	-13673.14509	Yes        	4        	618.416    	0.196    	 0.28561   0.23474   0.24125   0.23840	-0.91377   0.13833   0.72902   0.04642  
      	     	          	           	          	           	             	                                      	 0.16831  -0.87548   0.10790   0.59927  
      	     	          	           	          	           	             	                                      	 0.86304   0.10499  -1.27070   0.30267  
