. Sequence file : [Hominid_ENAM.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.17338  -1.18583   0.20132   0.81113  
      	     	          	           	          	           	             	                                      	 0.99246   0.22260  -1.42628   0.21123  
      	     	          	           	          	           	             	                                      	 0.12811   0.54067   0.12734  -0.79612  
  #50	4   	-28802.41498	Yes        	4        	1.454    	0.203    	 0.31464   0.19999   0.18666   0.29870	-0.86601   0.11754   0.59357   0.15490  
      	     	          	           	          	           	             	                                      	 0.18492  -1.16131   0.22315   0.75323  
      	     	          	           	          	           	             	                                      	 1.00053   0.23908  -1.41237   0.17275  
      	     	          	           	          	           	             	                                      	 0.16317   0.50432   0.10796  -0.77544  
  #51	4   	-28874.10194	Yes        	4        	1.000    	0.201    	 0.31556   0.19755   0.18196   0.30493	-0.86437   0.11649   0.62741   0.12046  
      	     	          	           	          	           	             	                                      	 0.18607  -1.11081   0.21040   0.71434  
      	     	          	           	          	           	             	                                      	 1.08809   0.22843  -1.56141   0.24488  
      	     	          	           	          	           	             	                                      	 0.12466   0.46279   0.14612  -0.73357  
  #52	4   	-28512.50122	Yes        	4        	0.199    	0.203    	 0.31944   0.20444   0.17965   0.29646	-0.84923   0.08017   0.61569   0.15336  
      	     	          	           	          	           	             	                                      	 0.12527  -1.08917   0.19511   0.76880  
      	     	          	           	          	           	             	                                      	 1.09477   0.22203  -1.49301   0.17621  
      	     	          	           	          	           	             	                                      	 0.16525   0.53017   0.10678  -0.80221  
  #53	4   	-28819.57708	Yes        	4        	0.389    	0.189    	 0.31952   0.19755   0.17932   0.30361	-0.82691   0.12012   0.59777   0.10902  
      	     	          	           	          	           	             	                                      	 0.19428  -1.21004   0.20003   0.81572  
      	     	          	           	          	           	             	                                      	 1.06514   0.22037  -1.48138   0.19587  
      	     	          	           	          	           	             	                                      	 0.11473   0.53077   0.11569  -0.76118  
  #54	4   	-28743.28804	Yes        	4        	1.447    	0.203    	 0.31525   0.19670   0.18130   0.30675	-0.83363   0.08587   0.58877   0.15899  
      	     	          	           	          	           	             	                                      	 0.13763  -1.14096   0.22439   0.77894  
      	     	          	           	          	           	             	                                      	 1.02374   0.24344  -1.48694   0.21976  
      	     	          	           	          	           	             	                                      	 0.16340   0.49949   0.12989  -0.79278  
  #55	4   	-28707.52649	Yes        	4        	0.768    	0.198    	 0.31669   0.19675   0.18590   0.30066	-0.83727   0.11017   0.58328   0.14382  
      	     	          	           	          	           	             	                                      	 0.17733  -1.11255   0.22261   0.71261  
      	     	          	           	          	           	             	                                      	 0.99361   0.23560  -1.50271   0.27350  
      	     	          	           	          	           	             	                                      	 0.15149   0.46633   0.16911  -0.78692  
  #56	4   	-28962.58679	Yes        	4        	0.615    	0.195    	 0.31958   0.19757   0.18460   0.29824	-0.81643   0.12208   0.56655   0.12780  
      	     	          	           	          	           	             	                                      	 0.19747  -1.21929   0.17419   0.84762  
      	     	          	           	          	           	             	                                      	 0.98081   0.18643  -1.36877   0.20153  
      	     	          	           	          	           	             	                                      	 0.13694   0.56150   0.12474  -0.82318  
