. Sequence file : [Hominid_COL1A2.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #51	4   	-57437.77474	Yes        	4        	1.482    	0.203    	 0.30656   0.18771   0.18637   0.31935	-0.83488   0.13054   0.58799   0.11635  
      	     	          	           	          	           	             	                                      	 0.21319  -1.30267   0.17916   0.91032  
      	     	          	           	          	           	             	                                      	 0.96718   0.18044  -1.35983   0.21220  
      	     	          	           	          	           	             	                                      	 0.11169   0.53508   0.12384  -0.77061  
  #52	4   	-57753.16318	Yes        	4        	2.306    	0.196    	 0.30341   0.18938   0.18371   0.32349	-0.85328   0.12732   0.60111   0.12485  
      	     	          	           	          	           	             	                                      	 0.20398  -1.31548   0.20658   0.90492  
      	     	          	           	          	           	             	                                      	 0.99280   0.21296  -1.37235   0.16658  
      	     	          	           	          	           	             	                                      	 0.11710   0.52977   0.09460  -0.74147  
  #53	4   	-57508.15383	Yes        	4        	0.957    	0.200    	 0.30404   0.18919   0.18240   0.32437	-0.85582   0.13701   0.56422   0.15460  
      	     	          	           	          	           	             	                                      	 0.22018  -1.32331   0.20022   0.90292  
      	     	          	           	          	           	             	                                      	 0.94047   0.20767  -1.31861   0.17046  
      	     	          	           	          	           	             	                                      	 0.14491   0.52664   0.09586  -0.76740  
  #54	4   	-57695.02116	Yes        	4        	0.742    	0.197    	 0.30671   0.19065   0.18472   0.31793	-0.82309   0.11974   0.56085   0.14250  
      	     	          	           	          	           	             	                                      	 0.19264  -1.29554   0.18781   0.91509  
      	     	          	           	          	           	             	                                      	 0.93123   0.19384  -1.32694   0.20187  
      	     	          	           	          	           	             	                                      	 0.13747   0.54873   0.11729  -0.80349  
  #55	4   	-57485.54846	Yes        	4        	0.975    	0.200    	 0.30148   0.19134   0.18630   0.32088	-0.87990   0.12715   0.61240   0.14036  
