. Sequence file : [Hominid_ODAM.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #33	4   	-14128.66841	Yes        	4        	0.367    	0.207    	 0.33153   0.16930   0.15507   0.34409	-0.69526   0.17435   0.39957   0.12134  
      	     	          	           	          	           	             	                                      	 0.34141  -1.63438   0.23008   1.06289  
      	     	          	           	          	           	             	                                      	 0.85427   0.25120  -1.43173   0.32626  
      	     	          	           	          	           	             	                                      	 0.11691   0.52297   0.14703  -0.78692  
  #34	4   	-14073.47479	Yes        	4        	0.664    	0.196    	 0.34011   0.16879   0.15444   0.33666	-0.72398   0.14738   0.46267   0.11394  
      	     	          	           	          	           	             	                                      	 0.29696  -1.52688   0.20023   1.02969  
      	     	          	           	          	           	             	                                      	 1.01893   0.21885  -1.53670   0.29892  
      	     	          	           	          	           	             	                                      	 0.11510   0.51626   0.13712  -0.76848  
  #35	4   	-13986.58140	Yes        	4        	1.082    	0.201    	 0.35306   0.16684   0.15208   0.32802	-0.65626   0.20195   0.36437   0.08993  
      	     	          	           	          	           	             	                                      	 0.42736  -1.73354   0.19225   1.11393  
      	     	          	           	          	           	             	                                      	 0.84588   0.21090  -1.38806   0.33128  
      	     	          	           	          	           	             	                                      	 0.09680   0.56657   0.15359  -0.81696  
  #36	4   	-14128.16236	Yes        	4        	0.457    	0.190    	 0.33391   0.16685   0.15445   0.34478	-0.67497   0.14817   0.38820   0.13860  
      	     	          	           	          	           	             	                                      	 0.29652  -1.61406   0.20948   1.10807  
      	     	          	           	          	           	             	                                      	 0.83924   0.22630  -1.42022   0.35468  
      	     	          	           	          	           	             	                                      	 0.13423   0.53624   0.15889  -0.82937  
  #37	4   	-14349.55976	Yes        	4        	618.416    	0.184    	 0.33619   0.17316   0.16353   0.32712	-0.69493   0.19595   0.37166   0.12733  
      	     	          	           	          	           	             	                                      	 0.38043  -1.67415   0.25330   1.04042  
      	     	          	           	          	           	             	                                      	 0.76409   0.26822  -1.29125   0.25894  
      	     	          	           	          	           	             	                                      	 0.13086   0.55076   0.12945  -0.81106  
  #38	4   	-14149.90059	Yes        	4        	0.306    	0.256    	 0.34451   0.16782   0.15546   0.33220	-0.71723   0.18838   0.43991   0.08895  
      	     	          	           	          	           	             	                                      	 0.38670  -1.59640   0.21363   0.99606  
      	     	          	           	          	           	             	                                      	 0.97485   0.23062  -1.52638   0.32090  
      	     	          	           	          	           	             	                                      	 0.09225   0.50320   0.15018  -0.74562  
  #39	4   	-14221.92884	Yes        	4        	0.402    	0.186    	 0.33428   0.17022   0.15952   0.33598	-0.72859   0.18315   0.44187   0.10357  
      	     	          	           	          	           	             	                                      	 0.35968  -1.60995   0.22666   1.02361  
      	     	          	           	          	           	             	                                      	 0.92595   0.24187  -1.44130   0.27349  
      	     	          	           	          	           	             	                                      	 0.10305   0.51859   0.12985  -0.75149  
  #40	4   	-14231.66848	Yes        	4        	0.455    	0.190    	 0.33997   0.16817   0.15723   0.33463	-0.70685   0.23294   0.35899   0.11492  
      	     	          	           	          	           	             	                                      	 0.47092  -1.76686   0.21023   1.08571  
      	     	          	           	          	           	             	                                      	 0.77623   0.22486  -1.26666   0.26557  
      	     	          	           	          	           	             	                                      	 0.11675   0.54563   0.12478  -0.78715  
  #41	4   	-14322.99277	Yes        	4        	0.352    	0.262    	 0.33107   0.17776   0.16396   0.32721	-0.71919   0.14700   0.47347   0.09872  
      	     	          	           	          	           	             	                                      	 0.27377  -1.43311   0.20189   0.95746  
      	     	          	           	          	           	             	                                      	 0.95602   0.21888  -1.51528   0.34038  
      	     	          	           	          	           	             	                                      	 0.09988   0.52016   0.17057  -0.79061  
  #42	4   	-14161.40746	Yes        	4        	0.556    	0.194    	 0.33077   0.17563   0.15959   0.33400	-0.75758   0.16586   0.48800   0.10372  
      	     	          	           	          	           	             	                                      	 0.31238  -1.47905   0.19796   0.96872  
      	     	          	           	          	           	             	                                      	 1.01143   0.21785  -1.50816   0.27888  
      	     	          	           	          	           	             	                                      	 0.10271   0.50939   0.13326  -0.74536  
  #43	4   	-14095.42511	Yes        	4        	0.254    	0.256    	 0.33712   0.16501   0.15890   0.33897	-0.71429   0.18089   0.45640   0.07701  
      	     	          	           	          	           	             	                                      	 0.36955  -1.59546   0.21594   1.00998  
      	     	          	           	          	           	             	                                      	 0.96831   0.22425  -1.55069   0.35812  
      	     	          	           	          	           	             	                                      	 0.07659   0.49167   0.16787  -0.73613  
  #44	4   	-14333.78517	Yes        	4        	0.478    	0.190    	 0.34437   0.16586   0.15855   0.33122	-0.66502   0.16532   0.40129   0.09841  
      	     	          	           	          	           	             	                                      	 0.34325  -1.74038   0.16773   1.22940  
      	     	          	           	          	           	             	                                      	 0.87156   0.17546  -1.29465   0.24763  
      	     	          	           	          	           	             	                                      	 0.10232   0.61562   0.11854  -0.83648  
  #45	4   	-14127.66726	Yes        	4        	0.445    	0.190    	 0.32798   0.18462   0.15756   0.32984	-0.72602   0.20347   0.41354   0.10902  
      	     	          	           	          	           	             	                                      	 0.36145  -1.56335   0.19334   1.00855  
      	     	          	           	          	           	             	                                      	 0.86084   0.22656  -1.34116   0.25377  
      	     	          	           	          	           	             	                                      	 0.10840   0.56452   0.12122  -0.79414  
  #46	4   	-14048.51446	Yes        	4        	0.463    	0.191    	 0.33753   0.17256   0.15998   0.32993	-0.72609   0.14999   0.45667   0.11944  
      	     	          	           	          	           	             	                                      	 0.29337  -1.48152   0.17123   1.01691  
      	     	          	           	          	           	             	                                      	 0.96351   0.18470  -1.46009   0.31189  
      	     	          	           	          	           	             	                                      	 0.12219   0.53187   0.15123  -0.80529  
  #47	4   	-14279.80259	Yes        	4        	1.301    	0.201    	 0.34045   0.16678   0.15881   0.33397	-0.64938   0.18043   0.36703   0.10192  
      	     	          	           	          	           	             	                                      	 0.36833  -1.74266   0.24195   1.13238  
      	     	          	           	          	           	             	                                      	 0.78683   0.25409  -1.35398   0.31306  
      	     	          	           	          	           	             	                                      	 0.10390   0.56548   0.14886  -0.81824  
  #48	4   	-14265.67782	Yes        	4        	0.323    	0.285    	 0.33516   0.17059   0.15655   0.33770	-0.69287   0.18857   0.39292   0.11138  
      	     	          	           	          	           	             	                                      	 0.37049  -1.69260   0.19152   1.13059  
