. Sequence file : [Hominid_AMTN.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.20628  -1.30446   0.19928   0.89890  
      	     	          	           	          	           	             	                                      	 1.02234   0.22515  -1.42964   0.18215  
      	     	          	           	          	           	             	                                      	 0.10712   0.58295   0.10456  -0.79463  
  #60	4   	-23174.55868	Yes        	4        	0.454    	0.190    	 0.31749   0.19753   0.17765   0.30734	-0.77299   0.14247   0.52156   0.10897  
      	     	          	           	          	           	             	                                      	 0.22899  -1.35995   0.23604   0.89492  
      	     	          	           	          	           	             	                                      	 0.93213   0.26246  -1.37014   0.17556  
      	     	          	           	          	           	             	                                      	 0.11257   0.57517   0.10148  -0.78921  
  #61	4   	-23177.79447	Yes        	4        	0.310    	0.207    	 0.32061   0.19688   0.17883   0.30368	-0.71865   0.14808   0.49881   0.07176  
      	     	          	           	          	           	             	                                      	 0.24113  -1.40414   0.23364   0.92936  
      	     	          	           	          	           	             	                                      	 0.89429   0.25723  -1.37867   0.22714  
      	     	          	           	          	           	             	                                      	 0.07576   0.60252   0.13376  -0.81204  
  #62	4   	-23276.12154	Yes        	4        	0.335    	0.233    	 0.32417   0.19322   0.18022   0.30239	-0.83259   0.14762   0.59043   0.09455  
      	     	          	           	          	           	             	                                      	 0.24766  -1.28650   0.19313   0.84570  
      	     	          	           	          	           	             	                                      	 1.06202   0.20705  -1.43208   0.16301  
      	     	          	           	          	           	             	                                      	 0.10136   0.54038   0.09715  -0.73889  
  #63	4   	-23236.97328	Yes        	4        	0.394    	0.188    	 0.31715   0.19952   0.18132   0.30201	-0.72787   0.09992   0.53118   0.09678  
      	     	          	           	          	           	             	                                      	 0.15882  -1.32135   0.23979   0.92274  
      	     	          	           	          	           	             	                                      	 0.92912   0.26387  -1.39816   0.20516  
      	     	          	           	          	           	             	                                      	 0.10163   0.60962   0.12317  -0.83443  
  #64	4   	-23196.68744	Yes        	4        	0.610    	0.194    	 0.32393   0.19002   0.18126   0.30479	-0.78026   0.14519   0.55010   0.08496  
      	     	          	           	          	           	             	                                      	 0.24751  -1.35397   0.20120   0.90527  
      	     	          	           	          	           	             	                                      	 0.98307   0.21092  -1.39814   0.20415  
      	     	          	           	          	           	             	                                      	 0.09030   0.56438   0.12141  -0.77608  
  #65	4   	-23006.18920	Yes        	4        	0.236    	0.285    	 0.32769   0.19547   0.18194   0.29491	-0.75293   0.09834   0.58030   0.07430  
      	     	          	           	          	           	             	                                      	 0.16485  -1.27419   0.19575   0.91358  
      	     	          	           	          	           	             	                                      	 1.04517   0.21031  -1.45574   0.20027  
      	     	          	           	          	           	             	                                      	 0.08256   0.60552   0.12355  -0.81163  
  #66	4   	-22918.80257	Yes        	4        	0.444    	0.190    	 0.32570   0.19583   0.17948   0.29899	-0.76056   0.14591   0.52004   0.09461  
      	     	          	           	          	           	             	                                      	 0.24268  -1.34927   0.18272   0.92387  
      	     	          	           	          	           	             	                                      	 0.94374   0.19937  -1.34136   0.19826  
      	     	          	           	          	           	             	                                      	 0.10306   0.60510   0.11901  -0.82716  
