. Sequence file : [Hominid_AMBN.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.22468  -1.20305   0.12410   0.85427  
      	     	          	           	          	           	             	                                      	 0.97407   0.12662  -1.36424   0.26355  
      	     	          	           	          	           	             	                                      	 0.12393   0.52554   0.15891  -0.80838  
  #45	4   	-24245.68480	Yes        	4        	1.325    	0.202    	 0.32443   0.18482   0.18027   0.31048	-0.80636   0.19135   0.52295   0.09206  
      	     	          	           	          	           	             	                                      	 0.33588  -1.39888   0.18739   0.87562  
      	     	          	           	          	           	             	                                      	 0.94116   0.19212  -1.36585   0.23257  
      	     	          	           	          	           	             	                                      	 0.09620   0.52125   0.13503  -0.75248  
  #46	4   	-23973.33864	Yes        	4        	2.172    	0.204    	 0.32572   0.19361   0.17440   0.30628	-0.77642   0.14982   0.53523   0.09137  
      	     	          	           	          	           	             	                                      	 0.25205  -1.34952   0.18389   0.91358  
      	     	          	           	          	           	             	                                      	 0.99965   0.20414  -1.40234   0.19855  
      	     	          	           	          	           	             	                                      	 0.09717   0.57751   0.11306  -0.78774  
  #47	4   	-24390.75510	Yes        	4        	0.890    	0.199    	 0.32317   0.18992   0.17826   0.30865	-0.79890   0.15629   0.53255   0.11006  
      	     	          	           	          	           	             	                                      	 0.26595  -1.30846   0.17339   0.86912  
      	     	          	           	          	           	             	                                      	 0.96548   0.18473  -1.39608   0.24586  
      	     	          	           	          	           	             	                                      	 0.11524   0.53478   0.14199  -0.79201  
  #48	4   	-24036.31280	Yes        	4        	0.251    	0.327    	 0.32322   0.19238   0.17733   0.30707	-0.73567   0.15279   0.51506   0.06782  
      	     	          	           	          	           	             	                                      	 0.25670  -1.40672   0.18218   0.96784  
      	     	          	           	          	           	             	                                      	 0.93882   0.19764  -1.36752   0.23106  
      	     	          	           	          	           	             	                                      	 0.07139   0.60636   0.13344  -0.81118  
  #49	4   	-24321.10454	Yes        	4        	0.580    	0.194    	 0.32336   0.19044   0.18114   0.30506	-0.72606   0.14385   0.50823   0.07398  
      	     	          	           	          	           	             	                                      	 0.24425  -1.42354   0.20903   0.97026  
      	     	          	           	          	           	             	                                      	 0.90725   0.21977  -1.35135   0.22433  
      	     	          	           	          	           	             	                                      	 0.07842   0.60571   0.13321  -0.81733  
  #50	4   	-24407.98988	Yes        	4        	0.442    	0.191    	 0.32528   0.19080   0.18545   0.29848	-0.78220   0.16779   0.52273   0.09168  
      	     	          	           	          	           	             	                                      	 0.28605  -1.39285   0.20118   0.90562  
      	     	          	           	          	           	             	                                      	 0.91687   0.20698  -1.30934   0.18548  
      	     	          	           	          	           	             	                                      	 0.09991   0.57890   0.11524  -0.79404  
  #51	4   	-24256.47015	Yes        	4        	0.584    	0.195    	 0.33059   0.19209   0.17787   0.29946	-0.76623   0.13485   0.52092   0.11046  
      	     	          	           	          	           	             	                                      	 0.23208  -1.30112   0.16064   0.90839  
      	     	          	           	          	           	             	                                      	 0.96819   0.17348  -1.37414   0.23247  
      	     	          	           	          	           	             	                                      	 0.12194   0.58268   0.13808  -0.84270  
  #52	4   	-24115.05358	Yes        	4        	0.370    	0.189    	 0.31988   0.19570   0.17508   0.30934	-0.82813   0.16026   0.54668   0.12119  
      	     	          	           	          	           	             	                                      	 0.26195  -1.29880   0.12121   0.91564  
      	     	          	           	          	           	             	                                      	 0.99881   0.13548  -1.31813   0.18384  
      	     	          	           	          	           	             	                                      	 0.12532   0.57927   0.10405  -0.80864  
  #53	4   	-24290.60644	Yes        	4        	0.760    	0.198    	 0.31880   0.19418   0.18198   0.30504	-0.77218   0.16747   0.49546   0.10924  
      	     	          	           	          	           	             	                                      	 0.27496  -1.41311   0.18015   0.95800  
      	     	          	           	          	           	             	                                      	 0.86799   0.19223  -1.24060   0.18038  
      	     	          	           	          	           	             	                                      	 0.11417   0.60982   0.10761  -0.83160  
  #54	4   	-24055.30398	Yes        	4        	0.612    	0.195    	 0.32449   0.19355   0.17804   0.30392	-0.80720   0.12633   0.59480   0.08607  
      	     	          	           	          	           	             	                                      	 0.21179  -1.25569   0.17963   0.86427  
      	     	          	           	          	           	             	                                      	 1.08403   0.19527  -1.48167   0.20237  
      	     	          	           	          	           	             	                                      	 0.09190   0.55039   0.11855  -0.76084  
  #55	4   	-23997.41106	Yes        	4        	0.289    	0.234    	 0.32153   0.19155   0.17449   0.31243	-0.73407   0.15078   0.49227   0.09101  
      	     	          	           	          	           	             	                                      	 0.25311  -1.39493   0.15080   0.99102  
      	     	          	           	          	           	             	                                      	 0.90713   0.16554  -1.33204   0.25937  
      	     	          	           	          	           	             	                                      	 0.09366   0.60759   0.14486  -0.84611  
  #56	4   	-24210.66183	Yes        	4        	0.711    	0.197    	 0.32172   0.19030   0.17688   0.31110	-0.74439   0.14620   0.48555   0.11264  
      	     	          	           	          	           	             	                                      	 0.24715  -1.37510   0.15573   0.97222  
      	     	          	           	          	           	             	                                      	 0.88318   0.16755  -1.31002   0.25930  
      	     	          	           	          	           	             	                                      	 0.11649   0.59471   0.14742  -0.85862  
  #57	4   	-24130.43775	Yes        	4        	0.503    	0.193    	 0.32427   0.19107   0.18015   0.30450	-0.71821   0.10287   0.51085   0.10449  
      	     	          	           	          	           	             	                                      	 0.17459  -1.37994   0.19830   1.00705  
      	     	          	           	          	           	             	                                      	 0.91954   0.21032  -1.33410   0.20423  
      	     	          	           	          	           	             	                                      	 0.11128   0.63192   0.12082  -0.86402  
  #58	4   	-24206.66851	Yes        	4        	1.130    	0.201    	 0.32415   0.19320   0.18570   0.29694	-0.81084   0.12383   0.58525   0.10177  
      	     	          	           	          	           	             	                                      	 0.20775  -1.25755   0.15655   0.89325  
      	     	          	           	          	           	             	                                      	 1.02157   0.16287  -1.36934   0.18491  
      	     	          	           	          	           	             	                                      	 0.11110   0.58119   0.11564  -0.80793  
  #59	4   	-24194.71875	Yes        	4        	0.418    	0.192    	 0.32141   0.18985   0.18006   0.30868	-0.79843   0.16258   0.52413   0.11172  
      	     	          	           	          	           	             	                                      	 0.27524  -1.34887   0.17586   0.89776  
      	     	          	           	          	           	             	                                      	 0.93556   0.18543  -1.34061   0.21963  
      	     	          	           	          	           	             	                                      	 0.11633   0.55217   0.12812  -0.79662  
  #60	4   	-24388.77878	Yes        	4        	0.281    	0.207    	 0.32288   0.19308   0.18105   0.30300	-0.79349   0.14083   0.56973   0.08293  
      	     	          	           	          	           	             	                                      	 0.23550  -1.33344   0.14261   0.95533  
      	     	          	           	          	           	             	                                      	 1.01605   0.15209  -1.34385   0.17571  
      	     	          	           	          	           	             	                                      	 0.08837   0.60876   0.10499  -0.80213  
  #61	4   	-24521.96835	Yes        	4        	1.295    	0.202    	 0.32060   0.18924   0.18573   0.30443	-0.74871   0.15211   0.52740   0.06920  
      	     	          	           	          	           	             	                                      	 0.25768  -1.41155   0.20566   0.94821  
      	     	          	           	          	           	             	                                      	 0.91036   0.20954  -1.34390   0.22399  
      	     	          	           	          	           	             	                                      	 0.07288   0.58945   0.13666  -0.79899  
  #62	4   	-24445.76926	Yes        	4        	1.559    	0.203    	 0.32070   0.19284   0.17795   0.30851	-0.77249   0.13629   0.53714   0.09905  
      	     	          	           	          	           	             	                                      	 0.22666  -1.33994   0.16809   0.94519  
      	     	          	           	          	           	             	                                      	 0.96807   0.18216  -1.36138   0.21116  
      	     	          	           	          	           	             	                                      	 0.10297   0.59081   0.12179  -0.81558  
  #63	4   	-24353.01944	Yes        	4        	0.334    	0.209    	 0.31833   0.19098   0.18480   0.30588	-0.82561   0.13452   0.58706   0.10404  
      	     	          	           	          	           	             	                                      	 0.22423  -1.23203   0.13283   0.87497  
      	     	          	           	          	           	             	                                      	 1.01124   0.13727  -1.39043   0.24192  
      	     	          	           	          	           	             	                                      	 0.10827   0.54630   0.14616  -0.80073  
  #64	4   	-24304.84088	Yes        	4        	0.915    	0.199    	 0.32290   0.19180   0.18093   0.30436	-0.70525   0.13869   0.48846   0.07810  
      	     	          	           	          	           	             	                                      	 0.23348  -1.45306   0.17582   1.04376  
      	     	          	           	          	           	             	                                      	 0.87173   0.18638  -1.27008   0.21197  
      	     	          	           	          	           	             	                                      	 0.08286   0.65777   0.12601  -0.86664  
  #65	4   	-24215.62003	Yes        	4        	1.076    	0.200    	 0.31788   0.19684   0.17713   0.30814	-0.77848   0.12845   0.55130   0.09873  
      	     	          	           	          	           	             	                                      	 0.20744  -1.22897   0.16946   0.85207  
      	     	          	           	          	           	             	                                      	 0.98936   0.18831  -1.46817   0.29050  
      	     	          	           	          	           	             	                                      	 0.10185   0.54429   0.16699  -0.81314  
  #66	4   	-24512.72219	Yes        	4        	0.692    	0.197    	 0.31986   0.19140   0.18259   0.30616	-0.76460   0.10645   0.58171   0.07644  
      	     	          	           	          	           	             	                                      	 0.17790  -1.29235   0.18944   0.92501  
      	     	          	           	          	           	             	                                      	 1.01906   0.19859  -1.44838   0.23074  
      	     	          	           	          	           	             	                                      	 0.07987   0.57829   0.13761  -0.79576  
