. Sequence file : [Hominid_MMP20.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #36	4   	-80742.58227	Yes        	4        	0.984    	0.200    	 0.28373   0.19660   0.19894   0.32073	-0.78041   0.10984   0.56200   0.10857  
      	     	          	           	          	           	             	                                      	 0.15851  -1.33074   0.21797   0.95426  
      	     	          	           	          	           	             	                                      	 0.80156   0.21541  -1.25879   0.24182  
      	     	          	           	          	           	             	                                      	 0.09605   0.58496   0.14999  -0.83100  
  #37	4   	-80298.91550	Yes        	4        	1.808    	0.203    	 0.28143   0.20216   0.19526   0.32115	-0.84237   0.12202   0.59458   0.12577  
      	     	          	           	          	           	             	                                      	 0.16988  -1.27477   0.22169   0.88321  
      	     	          	           	          	           	             	                                      	 0.85696   0.22951  -1.28912   0.20264  
      	     	          	           	          	           	             	                                      	 0.11022   0.55596   0.12321  -0.78939  
  #38	4   	-80410.06267	Yes        	4        	0.607    	0.180    	 0.28708   0.19862   0.19824   0.31606	-0.81139   0.11720   0.56063   0.13356  
      	     	          	           	          	           	             	                                      	 0.16940  -1.30178   0.18524   0.94714  
      	     	          	           	          	           	             	                                      	 0.81186   0.18559  -1.21011   0.21265  
      	     	          	           	          	           	             	                                      	 0.12131   0.59519   0.13338  -0.84989  
  #39	4   	-80573.51354	Yes        	4        	1.445    	0.203    	 0.28436   0.19981   0.19487   0.32097	-0.83752   0.12779   0.58432   0.12541  
      	     	          	           	          	           	             	                                      	 0.18186  -1.28285   0.19108   0.90992  
      	     	          	           	          	           	             	                                      	 0.85266   0.19593  -1.26338   0.21479  
      	     	          	           	          	           	             	                                      	 0.11111   0.56645   0.13040  -0.80796  
  #40	4   	-80701.56005	Yes        	4        	0.749    	0.199    	 0.28176   0.20205   0.19786   0.31833	-0.81644   0.14500   0.56318   0.10825  
      	     	          	           	          	           	             	                                      	 0.20221  -1.33722   0.20245   0.93256  
      	     	          	           	          	           	             	                                      	 0.80201   0.20674  -1.21412   0.20537  
      	     	          	           	          	           	             	                                      	 0.09581   0.59190   0.12765  -0.81536  
  #41	4   	-80784.42437	Yes        	4        	0.783    	0.200    	 0.27979   0.20184   0.19929   0.31908	-0.81025   0.13205   0.57523   0.10296  
      	     	          	           	          	           	             	                                      	 0.18305  -1.29910   0.18771   0.92834  
      	     	          	           	          	           	             	                                      	 0.80758   0.19012  -1.23875   0.24106  
      	     	          	           	          	           	             	                                      	 0.09028   0.58723   0.15056  -0.82807  
  #42	4   	-79994.34356	Yes        	4        	1.699    	0.202    	 0.28437   0.19853   0.19454   0.32255	-0.81453   0.13957   0.56756   0.10740  
      	     	          	           	          	           	             	                                      	 0.19992  -1.34116   0.20265   0.93860  
      	     	          	           	          	           	             	                                      	 0.82966   0.20681  -1.25130   0.21483  
      	     	          	           	          	           	             	                                      	 0.09469   0.57771   0.12957  -0.80197  
  #43	4   	-80751.54103	Yes        	4        	1.050    	0.200    	 0.28441   0.19829   0.19808   0.31923	-0.81078   0.14644   0.56454   0.09980  
      	     	          	           	          	           	             	                                      	 0.21005  -1.34954   0.19324   0.94625  
      	     	          	           	          	           	             	                                      	 0.81057   0.19344  -1.22342   0.21942  
      	     	          	           	          	           	             	                                      	 0.08891   0.58776   0.13615  -0.81283  
  #44	4   	-80919.62411	Yes        	4        	1.875    	0.203    	 0.28383   0.19693   0.20076   0.31848	-0.81503   0.13181   0.54902   0.13420  
      	     	          	           	          	           	             	                                      	 0.18997  -1.31019   0.20768   0.91254  
      	     	          	           	          	           	             	                                      	 0.77618   0.20372  -1.21932   0.23942  
      	     	          	           	          	           	             	                                      	 0.11960   0.56427   0.15092  -0.83479  
  #45	4   	-80612.56889	Yes        	4        	2.011    	0.186    	 0.28308   0.19967   0.19658   0.32068	-0.78565   0.13262   0.53001   0.12302  
      	     	          	           	          	           	             	                                      	 0.18802  -1.35287   0.21163   0.95322  
      	     	          	           	          	           	             	                                      	 0.76324   0.21496  -1.20721   0.22900  
      	     	          	           	          	           	             	                                      	 0.10860   0.59351   0.14038  -0.84249  
  #46	4   	-80878.91177	Yes        	4        	1.389    	0.203    	 0.28312   0.19959   0.20273   0.31456	-0.81681   0.13606   0.56846   0.11229  
      	     	          	           	          	           	             	                                      	 0.19300  -1.31718   0.18770   0.93648  
      	     	          	           	          	           	             	                                      	 0.79389   0.18480  -1.19753   0.21885  
      	     	          	           	          	           	             	                                      	 0.10107   0.59421   0.14105  -0.83632  
  #47	4   	-80699.87292	Yes        	4        	0.654    	0.180    	 0.28316   0.19909   0.19703   0.32073	-0.77273   0.11196   0.56054   0.10023  
      	     	          	           	          	           	             	                                      	 0.15924  -1.34474   0.19783   0.98767  
      	     	          	           	          	           	             	                                      	 0.80557   0.19991  -1.23476   0.22928  
      	     	          	           	          	           	             	                                      	 0.08849   0.61309   0.14085  -0.84243  
  #48	4   	-80821.66294	Yes        	4        	2.007    	0.204    	 0.28307   0.19777   0.19996   0.31920	-0.81203   0.13815   0.55051   0.12338  
      	     	          	           	          	           	             	                                      	 0.19773  -1.30857   0.20227   0.90857  
      	     	          	           	          	           	             	                                      	 0.77933   0.20006  -1.23167   0.25229  
      	     	          	           	          	           	             	                                      	 0.10941   0.56293   0.15804  -0.83038  
  #49	4   	-80878.98903	Yes        	4        	1.024    	0.199    	 0.28415   0.19591   0.19669   0.32325	-0.82868   0.11010   0.58248   0.13610  
